"Note Key","Category","Label","Note","Active"
"tenantFriction:Low","Tenant Friction","Low","Tenant activity is unusually quiet, with rent paid on time and minimal management intervention needed.","Yes"
"tenantFriction:Normal","Tenant Friction","Normal","Tenant communication and day-to-day issues are typical for a property like yours, with occasional routine matters handled through standard practices.","Yes"
"tenantFriction:High","Tenant Friction","High","Tenant-related issues are occurring more than expected — repeated complaints, payment follow-up, conflicts, or lease-enforcement needs beyond the ordinary.","Yes"
"tenantFriction:Severe","Tenant Friction","Severe","Tenant activity is materially disruptive relative to a typical property — active evictions, legal disputes, serious violations, or persistent conflict.","Yes"
"turnoverPressure:Low","Turnover Pressure","Low","Turnover is unusually low — tenants are staying long-term, vacancies are rare, and leasing effort is minimal.","Yes"
"turnoverPressure:Normal","Turnover Pressure","Normal","Unit turnover is occurring at a typical pace for this property type and market, handled through ordinary leasing activity.","Yes"
"turnoverPressure:High","Turnover Pressure","High","Turnover on this property is running higher than typical, requiring more frequent leasing, marketing, and rent-ready turnaround than a standard property in this market.","Yes"
"turnoverPressure:Severe","Turnover Pressure","Severe","Turnover is a major operating problem here — multiple vacancies, chronic churn, or prolonged difficulty re-leasing units.","Yes"
"maintenanceBurden:Low","Maintenance Burden","Low","Maintenance needs are unusually light — the property is in strong condition and service calls are rare.","Yes"
"maintenanceBurden:Normal","Maintenance Burden","Normal","Maintenance needs are routine for a property of this age, size, and condition — ordinary service calls and upkeep.","Yes"
"maintenanceBurden:High","Maintenance Burden","High","Maintenance demand is running above normal — recurring repairs, aging systems, and more frequent vendor coordination than a typical property.","Yes"
"maintenanceBurden:Severe","Maintenance Burden","Severe","Maintenance represents a major operating burden — serious deferred maintenance, safety issues, major system failures, or a large repair backlog.","Yes"
"complianceBurden:Low","Compliance Burden","Low","Compliance and administrative requirements are unusually simple — no special rules, added filings, or elevated compliance tasks.","Yes"
"complianceBurden:Normal","Compliance Burden","Normal","Compliance and administrative requirements are typical for this jurisdiction and property type — standard notices and recordkeeping, with no unusual filings or oversight expected.","Yes"
"complianceBurden:High","Compliance Burden","High","Compliance work is running above normal — rent-control tracking, recurring inspections, registration requirements, or HOA coordination beyond the ordinary.","Yes"
"complianceBurden:Severe","Compliance Burden","Severe","Compliance and regulatory exposure here is significant — active code enforcement, lawsuits, complex local restrictions, or unresolved notices.","Yes"
